id_site,site_name,id_core,core_name,country_name,region_name,latitude,longitude
1,Cygnet,1,Cygnet_core1,United States,Northern America,44.66,-110.61
2,Slough Creek Pond,2,Slough Creek Pond_core1,United States,Northern America,44.91,-110.34
3,Burnt Knob,3,Burnt Knob_core1,United States,Northern America,45.7,-114.98
4,Baker,4,Baker_core1,United States,Northern America,45.89,-114.26
5,Hoodoo,5,Hoodoo_core1,United States,Northern America,46.32,-114.65
6,Pintlar,6,Pintlar_core1,United States,Northern America,45.84,-113.44
7,Foy,7,Foy_core1,United States,Northern America,48.16,-114.35
8,Bolan,8,Bolan_core1,United States,Northern America,42.02,-123.46
9,Bluff,9,Bluff_core1,United States,Northern America,41.34,-122.55
10,Cedar,10,Cedar_core1,United States,Northern America,41.2,-122.49
11,Crater Lake CA,11,Crater Lake CA_core1,United States,Northern America,41.38,-122.57
12,Mumbo,12,Mumbo_core1,United States,Northern America,41.19,-122.5
13,Trail,13,Trail_core1,United States,Northern America,44.28,-110.17
14,Lost,14,Lost_core1,United States,Northern America,45.82,-123.57
15,Little,15,Little_core1,United States,Northern America,44.16,-123.58
16,Taylor,16,Taylor_core1,United States,Northern America,46.1,-123.9
17,Abalone Rocks Marsh,17,Abalone Rocks Marsh_core1,United States,Northern America,33.95,-119.97
18,Beach,18,Beach_core1,Canada,Northern America,65.21,-127.05
19,Beef Pasture,19,Beef Pasture_core1,United States,Northern America,37.41,-108.15
20,Como,20,Como_core1,United States,Northern America,37.55,-105.5
21,Crane,21,Crane_core1,United States,Northern America,36.71,-112.21
22,Excelsior Basin,22,Excelsior Basin_core1,Canada,Northern America,52.78,-117.11
23,Fariya,23,Fariya_core1,Canada,Northern America,59.84,-111.29
24,Forest Pond 1,24,Forest Pond 1_core1,United States,Northern America,43.47,-109.93
25,Forest Pond 2,25,Forest Pond 2_core1,United States,Northern America,43.43,-109.95
26,Frying Pan,26,Frying Pan_core1,United States,Northern America,38.61,-111.66
27,Head,27,Head_core1,United States,Northern America,37.69,-105.73
28,Howes Prairie Marsh,28,Howes Prairie Marsh_core1,United States,Northern America,41.65,-87.07
29,Maligne Lake,29,Maligne Lake_core1,United States,Northern America,52.73,-117.61
30,Montezuma Well,30,Montezuma Well_core1,United States,Northern America,34,-112
31,Ninisith Lake,31,Ninisith Lake_core1,Canada,Northern America,59.58,-113
32,Park Pond 1,32,Park Pond 1_core1,United States,Northern America,43.46,-109.95
33,Park Pond 2,33,Park Pond 2_core1,United States,Northern America,43.45,-109.94
34,Park Pond 3,34,Park Pond 3_core1,United States,Northern America,43.45,-109.92
35,Posy Lake,35,Posy Lake_core1,United States,Northern America,37.95,-111.7
36,Rainbow Lake A,36,Rainbow Lake A_core1,Canada,Northern America,59.8,-112.16
37,Sagehen Marsh,37,Sagehen Marsh_core1,United States,Northern America,37.47,-108.5
38,San Joaquin Marsh,38,San Joaquin Marsh_core1,United States,Northern America,33.65,-117.85
39,Swamp Lake,39,Swamp Lake_core1,United States,Northern America,37.95,-119.81
40,Tonquin Creek,40,Tonquin Creek_core1,Canada,Northern America,52.73,-118.36
41,Wilcox Pass,41,Wilcox Pass_core1,Canada,Northern America,52.24,-117.21
